Station ID,Station Name,City,State,Latitude,Longitude,Earliest timestamp,Latest timestamp,Total downloaded rows,Completeness %,Available pollutants,Quality score
2456,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,26.83399722,80.8917361,2016-03-21T10:00:00Z,2022-10-31T07:30:00+05:30,708326,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",100.0
5659,"Lalbagh, Lucknow - CPCB",Lucknow,Uttar Pradesh,26.8458805,80.9365541,2018-03-09T03:30:00Z,2020-10-18T04:30:00Z,366000,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",97.5
5657,"Central School, Lucknow - CPCB",Lucknow,Uttar Pradesh,26.8821003,80.9302753,2018-03-09T05:30:00Z,2022-10-31T07:15:00+05:30,274341,100.0,"co,no2,o3,pm10,pm25,so2",97.5
5569,"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,Punjab,30.9028,75.8086,2018-03-09T05:30:00Z,2022-10-31T07:30:00+05:30,248989,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,wind_direction,wind_speed",97.5
6945,"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,19.0863,72.8888,2019-06-18T23:15:00Z,2022-10-31T07:30:00+05:30,232369,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",87.44
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,Maharashtra,19.10078,72.87462,2019-06-18T23:15:00Z,2022-10-31T07:15:00+05:30,254232,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",85.82
6943,"Mahape, Navi Mumbai - MPCB",Mumbai,Maharashtra,19.1135051,73.008978,2019-06-27T11:00:00+05:30,2022-10-16T21:15:00+05:30,144962,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",83.56
2583,"Sector-6, Panchkula - HSPCB ",Other,Haryana,30.7057778,76.8531805556,2016-03-21T18:30:00Z,2022-10-31T07:15:00+05:30,588825,100.0,"co,no,no2,nox,o3,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",100.0
10545,"Civil Lines, Ajmer - RSPCB",Other,Rajasthan,26.470859,74.646594,2018-04-16T03:15:00Z,2022-10-31T07:15:00+05:30,237644,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",96.78
6940,"Kalal Majra, Khanna - PPCB",Other,Punjab,30.736056,76.209694,2018-04-19T00:45:00Z,2022-10-31T06:30:00+05:30,245906,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",96.72
2596,"Solapur, Solapur - MPCB",Other,Other,17.6599188,75.9063906,2016-03-21T18:30:00Z,2022-10-31T07:30:00+05:30,644562,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",95.4
5559,"Collectorate, Gaya - BSPCB",Other,Bihar,24.7955,84.9994,2018-03-09T05:30:00Z,2022-10-31T07:30:00+05:30,241068,100.0,"co,no,no2,nox,o3,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",94.78
10599,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,25.599486,85.113666,2019-12-26T05:15:00Z,2022-10-16T21:15:00+05:30,226710,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",76.37
10697,"Samanpura, Patna - BSPCB",Patna,Bihar,25.596727,85.085624,2019-12-26T05:15:00Z,2022-10-16T21:15:00+05:30,226364,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",76.27
10670,"Muradpur, Patna - BSPCB",Patna,Bihar,25.619651,85.147382,2019-12-26T05:15:00Z,2022-10-16T21:15:00+05:30,232903,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",75.3
5661,"Karve Road Pune, Pune - MPCB",Pune,Maharashtra,18.5011743,73.8165527,2018-03-09T05:30:00Z,2022-10-10T16:45:00+05:30,208797,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",93.18
site_107,"Pusa, Delhi - IMD",Delhi,Delhi,28.639,77.16,N/A,N/A,0,0.0,"pm25,no2,pm10,so2,co,o3",98.0
